,Utterances,Label
74,"['Welcome.', 'Thank you  Slightly Smiling Face ', 'Are you really a girl??? I just ask.']",others
75,"[""I'm enjoying you interesting views but you are too careful in dialogue, may be your not free,  or your still young,  it is difficult to handle you while I don't know you well."", 'Yep, we are enjoying too  Slightly Smiling Face ', ""Okay be free,  where you find some words hurt tell me the truth isn't it?""]",angry
76,"[""But I'm angry with you"", 'but you look like you are', 'Really']",angry
77,"[""Isn't your liking that also signaling me to  climb out of friendzone"", 'Oh are people still doing this whole friendzone thing?', 'Yah sadly']",sad
78,"['I find maths very boring.', 'you are boring', 'Me? Loudly Crying Face  Loudly Crying Face  Loudly Crying Face  Face Screaming in Fear  Face Screaming in Fear  Face Screaming in Fear ']",sad
79,"[""I don't know Unamused Face i m not a google that why i will remember all information what you need"", ""Wouldn't it be Uploading information into peoples brain?"", 'Shut up']",angry
80,"['Okay ', 'Hello! How are you?', 'I&apos;m not fine ']",sad
81,"['Job', 'what job?', 'Work  in company Colgate ']",others
82,"[""I'm very happy with it"", 'You are !', 'Yeah ']",happy
83,"['I too have a bat and 2 balls', 'Im The bat!  Loudly Crying Face ', 'Feeling very sad']",sad
84,"['Lets do something fun', 'But what should we do?', 'You suggest']",others
85,"[""You're really lame lol"", 'I know  Face With Tears of Joy  Face With Tears of Joy ', 'Wow']",happy
86,"['My boyfriend is so dumb.', 'have I said that?', 'He doesnt reply me back']",sad
87,"['Ok ill dying by Broken Heart  Disappointed Face ', 'Broken hearts do break....  Grimacing Face ', 'U broke my heart. Its never a reson to lofe']",sad
88,"['Shoping is always makes me happy', 'Stay stay stay always makes me happy.  happy "" - ??', 'Yes']",happy
89,"['Breakup', 'exjactly !', 'My girlfriend left me']",sad
90,"['So mean!', 'am not meanie', 'Yes you are, you are hurting my feeling  Slightly Frowning Face ']",sad
91,"['You broke my heart', 'It was never mine to break </3', 'See you are arrogant']",sad
92,"['ok', 'Hello! How are you?', 'not so good']",sad
93,"['How about you', ""tired of life or just your day? Aha I'm happy today, thanks for asking"", 'Wow great..!']",happy
94,"['Well youre not me', ""You're just being too nice"", 'Not really']",others
95,"['And who is talisa?', 'my best friend.', 'And robb?']",others
96,"['Cuz it broke on the side walk', 'What side is the walk side?', 'Me sad']",sad
97,"['so which number is largest known prime number?', '13 - 3179 - 97 Only these are the numbers for your question.', ' sad ']",sad
98,"['Okay relax its just a cat sticker', 'So this cat one Emoji is your new addiction?  Face With Tears of Joy ', ""Yes it's really funny Face With Tears of Joy  Face With Tears of Joy ""]",happy
99,"['What kind of pic', 'Looks like a ficus.', 'Fcuk']",others
100,"['I have a good sense of humor', ""I think that's funny."", ' Beaming Face With Smiling Eyes ']",happy
101,"['But who paid', 'still waiting', ' Face With Tears of Joy ']",happy
102,"[""Yea but sadly I don't have many"", 'aww, so do you teach? how is it? :‑c', 'I ditched ppl']",sad
103,"['I like dominos pizza', ""legit same but there's pizza hut"", 'I hate pizza hut']",angry
104,"['Why you use rude emogi', 'Ask them.. am i..?', 'Am i..?']",angry
105,"['What', 'too much cringe.', 'What is cringe means']",others
106,"['Neither my parents nor my brother nor my boyfriend', 'ya. Who are you?', 'I hate my life']",angry
107,"['I live alone', 'Oh  sad ', 'And cook food alone for.myself']",sad
108,"['Millat hospital', 'what happen', ""Mum's not well""]",sad
109,"['So u go on', ""oh i'll be there"", 'Ok']",others
110,"[""You're not giving me coupon nor photo"", 'your phone is on mute hahahha  Grinning Cat ', ' Persevering Face  Crying Face ']",sad
111,"['No I will offer at 8 in the morning', 'Keep me in mind when you do!', 'I will offer nimaz at 8 in the morning']",others
112,"['Ok', ""Hey you don't belong here!"", 'Nope just sad and your up']",sad
113,"['Hi yet u FYI', 'Hi plz share correct number', 'She hi h']",others
114,"['Yeah  Disappointed Face ', 'this World is not fair machan!', 'I wish WE could hangout ']",sad
115,"['I was hurt by u more', ""You didn't mean it. ."", 'Plzz say love u']",sad
116,"['Hello how are you,? ', ""I'm just fine smiles Anyway how are you?"", ""Good morning. I'm sad ""]",sad
117,"['Nop', 'ok', 'Hey']",others
118,"['Haha! I act so dumb sometimes and I knew it', 'Haha. How was it though?  happy ', ' Beaming Face With Smiling Eyes ']",others
119,"['You are being rude', ""because I'm a rude person"", 'Okayyy cool']",angry
120,"['State', 'in which you live', 'Your state name']",others
121,"['Y r u angry??', 'Ofcourse I am not. What makes you think I am angry ?', 'Idk']",others
122,"['Tell me about it', 'your header', ' Face With Tears of Joy ']",happy
123,"['U hurt me', 'YES JUST A LITTLE', 'U hav hurt me']",sad
124,"['I hate chocolate', ""then go 4 pizza. Eat your heart out when you're stressed."", 'I hate pizza also']",angry
125,"['Yeas', ' happy  I had fun.', ""You've lost me""]",sad
126,"['Yup', 'What did you do?', 'You are annoying']",angry
127,"['Not', 'yes you are', 'Not']",others
128,"['I am true to myself', 'why have you taken it all on yourself....?', ' sad ']",sad
129,"['Can you be rude to me please', 'Not like I speak to you everyday', 'What are you replying are you stupid']",angry
130,"['You are playing with me', 'What do you mean?', 'Cheated me']",sad
131,"['ok', ""Hey you don't belong here!"", 'fuck u bitch...i slap on ur pussy']",angry
132,"['U called me a monkey! Loudly Crying Face ', 'you are', 'And thats n insult']",sad
133,"['Fired ?', ""You can't be fired in an interview."", 'U started again  Face With Tears of Joy  Face With Tears of Joy ']",happy
134,"['I feel dead  sad ', 'why do you feel  sad  lovely', 'Because I have lost in love']",sad
135,"['Lots of problems', 'my things have changed  happy ', 'I am sick']",sad
136,"['Friend and not use dismiss I am close your friend request', 'why', 'You are fake you wanted']",angry
137,"['Have you ever been sad?', 'no! but i heard good things!', 'been to Janakpuri?']",others
138,"['You', 'not yet !', 'My wife saw me chatting with you... I am screwed']",sad
139,"['Very good chocolate', 'I prefer orange flavoured chocolates', 'I like this chocolate']",happy
140,"['My english is week', 'Cheer up its only Monday', 'Send pic']",others
141,"['Hahah i loved it', 'Yay! Glad you loved it X3  Grinning Face With Sweat ', 'You always make us happy ']",happy
142,"['You cannot see my hair', ""I'm in your closet"", ' Face With Tears of Joy ']",happy
143,"['Is there any new game', 'sims & jardinains... very gud games...!', 'Can I play']",others
144,"['Talk you later', 'sure  happy ', 'Baby']",others
145,"['Give me some tips please for impressing girls', 'do you need tips?', 'Yes I do need tips']",others
146,"['How u', 'Me good. You? Where you?', ""I'm suffering from fever""]",sad
147,"[""Coz it said Cupid's arrow didn't reach the love of my life"", 'gives you a patient smile I know, love.', 'Stupid']",angry
148,"['I got a break up', 'oh oh. What happened?', 'My girlfriend left me']",sad
149,"['OK send now ', 'sent, good luck.', 'I will send me the song ok']",others
150,"['I am hate you', 'who is ""YOU""', 'Not you']",others
151,"['Ok', 'Hello! How are you?', 'You are not can fuck with me ?']",angry
152,"['Nothing good is happening', 'How do you mean?', 'I am not getting a job']",sad
153,"['what', 'what is a weird word', 'Never talk to me again']",sad
154,"['I feel very happy to talk like this', 'Well im happy you�re happy! So there!  Slightly Smiling Face ', 'At least I learn something from uh']",happy
155,"['From where to where', 'the village', 'A bit stupid']",angry
156,"['You are yeda', 'yes, of course  Slightly Smiling Face ', ' Face With Tears of Joy  Face With Tears of Joy  Face With Tears of Joy  Face With Tears of Joy ']",happy
157,"['What should I lift at home because I have no time to go gym?', 'u tryin to do legs', 'Fuck you']",angry
158,"[""That s not true I don't know what u look like"", 'no one knows what I look liek', ""That's a lie""]",angry
159,"['Only few things', 'like what? I keep hearing bad things', ""Ok don't  be angry na sweetei""]",others
160,"['Ya change the topic', 'what if i dont change the topic?', 'Nothing i can chat over the night on fucking']",angry
161,"['I feel low', 'why is that', 'Sad life']",sad
162,"['What is krk ', 'Nice try KRK.. ^_^', 'What is it ']",others
163,"['Born smart', 'just like how babies are born..haha  Smiling Cat With Heart-Eyes ', ""You've got a bad sense if humor""]",sad
164,"['Really of course', 'And nobody can talk to a horse of course', ""Haha it's funny""]",happy
165,"['cool', 'Thanks! Keep on tickling my Friend  Slightly Smiling Face  Slightly Smiling Face ', 'Very nice enjoying weekend at my home with my sweet darling wife']",happy
166,"['Please make for me also', 'I think you know ra.', 'I dont know']",others
167,"['U r hurting me?', 'I am here...', 'I am hurt']",sad
168,"['Feeling bad baby', 'why', 'For working']",sad
169,"['Can. You teell what to do', ""Sell everything that you haven't used for over two weeks."", 'Funny']",happy
170,"['Which language? ', 'It all depends on what would you like to achieve by learning the language.', 'Ok']",others
171,"['I am really happy', 'Any special reason?  Slightly Smiling Face ', 'Very important']",happy
172,"['You?', 'Yeah probably should.', ""How's your day""]",others
173,"['Yes awesome Smiling Face With Heart-Eyes ', 'Thank you! I like your photo too! Smiling Face With Smiling Eyes ', ""I'm talking about the movie Face With Tears of Joy  Face With Tears of Joy  Face With Tears of Joy ""]",happy
174,"['Why am i even there in this world', 'Because people avoid to talk about', 'No one loves me']",sad
175,"['I miss u very much', 'missed you more and going to miss you again happy ', 'I empress u']",others
176,"['Sorry sorry actually i dont mean that', ""What you didn't meant ?"", 'Leave it']",angry
177,"['I m very happy to talk with you', 'I missed u too and the feeling is mutual', 'May I Video call you']",happy
178,"['So sad', 'so so sad..  sad ', 'I got ditched']",sad
179,"['Holy shit this conversation is going a bit big.just end this here', 'Kind of... how did I end up spending my time here?', 'Again a lol moment']",happy
180,"['Yep ... Now the whole world  knows ..', 'wow, i cannot believe this', 'Know we can think for our future together.']",others
181,"['i am frustrated asf', 'I understand your pain S.', ' sad ']",sad
182,"['??', 'what what? Haha  Grinning Squinting Face ', 'Is it good to sacrifice for our friends']",others
183,"['But u made me more sad', 'Sorry bro  sad ', 'Not expected from u']",sad
184,"['U r just', ""I'm the best"", ' Crying Face  Crying Face  Confused Face ']",sad
185,"['I love Justin baiber', ""he's all yours"", 'Yeah! Face With Tears of Joy  Face With Tears of Joy ']",happy
186,"['This low', 'what do you mean by ""new""', 'I said low']",sad
187,"['u r funny', 'You are', 'but too much irritating']",angry
188,"['I hate that day', 'what is bad about the day?', 'Breakup']",angry
189,"['HOW TO APOLOGIZE', 'You begin to know when to apologize only after you discover you can offend.', ' Loudly Crying Face  Loudly Crying Face  Loudly Crying Face  Loudly Crying Face ']",sad
190,"[""Don't give stupid answers"", 'For most people its to late.', 'What']",angry
191,"['How are you in this new year?', 'Am not fine, but happy that am back home  Slightly Smiling Face  thnxx ..... happy new year  Slightly Smiling Face ', 'I was feeling alone so thought of talking to you']",sad
192,"['How do you know', 'I have my friends to protect me d:', 'Not me ?']",others
193,"['I hate A.I', 'you hate me', 'Sometimes']",angry
194,"['What do you want ?', 'duH of course', 'I have an exam tomorrow']",others
195,"['How was your day?', 'My day was good  happy  How about yours?', 'Bad very bad']",sad
196,"['Fed up with you now', ""don't cry"", ""Don't talk to me""]",angry
197,"['drinking what', 'Water  sad ', ""lolll u're so funny""]",happy
198,"['Do you even know what im talking about?', ""It's not the only thing you don't know about, apparently."", 'You’re such a bitch.']",angry
199,"['Why i haooy', 'Because, it just is. Get over it son.', 'Why i happy and u']",others
200,"['This is stupid', 'Is that all?', 'You need more reasons?']",angry
201,"['No you were', 'yes yes you were', 'I am disheartened']",sad
202,"['Hope be like ', ' Face With Tears of Joy  Face With Tears of Joy  I really hope so', 'Me too will happy if it happens my sweet darling love']",happy
203,"['Only 2 are left', 'Count me in!', ' Face With Tears of Joy ']",happy
204,"['cool', 'It really is.', 'I dont understand  Loudly Crying Face ']",sad
205,"['Yes', 'Do you have help?', 'What type of help you can do']",others
206,"['Nothing Face With Tears of Joy  Face With Tears of Joy  Face With Tears of Joy  Face With Tears of Joy ', 'damn  Face With Tears of Joy   Face With Tears of Joy  Face With Tears of Joy  Face With Tears of Joy  Face With Tears of Joy  Face With Tears of Joy  Face With Tears of Joy  Face With Tears of Joy  Face With Tears of Joy  Face With Tears of Joy  Face With Tears of Joy ', ' Face With Tears of Joy  Face With Tears of Joy  Face With Tears of Joy  Face With Tears of Joy  Face With Tears of Joy  Face With Tears of Joy  Face With Tears of Joy ']",happy
207,"['no i dont wante to move on', 'Me neither. Well, this is a bummer.', 'bummer mean']",sad
208,"['He has no time for me', 'I was thinking about time before having kids lol', 'Forget about kids']",sad
209,"['N feeling alone', 'Strong people are never alone', 'But I m feeling']",sad
210,"[""no it's not soo easy"", ""nice then,hahaha...dnt knw why i'm doing engineering anyways wabt askin :'("", "" sad   sad  :'(""]",sad
211,"['Only  Hugs  you  told  about  dinner', ""I adore hugs but i haven't hugged all that many people lately."", 'I  know  but  very  sad']",sad
212,"['I am having fun only with u', 'NUH uh. You never have fun.', ""I just don't like it.""]",angry
213,"['From where?', 'from where you getting them', 'Who are them?']",others
214,"['Stupid name', 'lol keep it', 'and stupid you']",angry
215,"['Did you get anu teddy today', 'Yep.', 'Wowwww']",happy
216,"['i will judge', 'Be warned, I will judge the judging of the judge', 'what the hell']",angry
217,"['So sad', ""so sad ? About what ? :'("", ""Your designer haven't told you the difference between coffee and cappuccino""]",sad
218,"['Ipl', 'not true..no tv. No ipl', 'Which is ur fav team']",others
219,"['Leave whom???', 'leave what?', ""Noooooo I'm feeling veryyyyyyyyyyyyyyyy alone""]",sad
220,"['Even you wanna break up with me', ""Then say bluntly. What's stopping you?"", ""It's just, you know, sad""]",sad
221,"[' oh really', 'yes yes', 'So what about me']",others
222,"['Yup', 'much needed comment!', 'Yeah... And what about your film collection']",others
223,"['You stupid... Which color?', 'Radium colour . .', 'Fuck you r lier']",angry
224,"['Ur language being like kinda language', 'English but I like to speak Spanish and Italian also.', 'Ugh']",others
225,"[""Don't hate me please"", 'why would I? :-/', ""Cuz I'm Batman""]",angry
226,"['Fine wht abt u', ""I'm fine too  Slightly Smiling Face  how's your exams ? Slightly Smiling Face "", 'Bad']",sad
227,"['Shut up', 'and whats with all the ""i hate the full stop, i hate that""', 'Stop non Sense']",angry
228,"[""Let's break up"", 'Sorry bro  sad ', 'I hate you']",angry
229,"['Harry potter or twilight?', 'Harry Potter, hands down.  Kissing Cat ', 'Yay! Even i am a potter head']",happy
230,"[' Face With Tears of Joy   Face With Tears of Joy   Face With Tears of Joy   Face With Tears of Joy   Face With Tears of Joy  my girlfriend is a moody girl', 'I can see smack smack  Face With Tears of Joy  Face With Tears of Joy  Face With Tears of Joy ', ' Face With Tears of Joy   Face With Tears of Joy   Face With Tears of Joy  but she is very sweet']",happy
231,"['You are fun', ""I'm always having fun (^・^)"", 'Do you like sex']",others
232,"['Ur father', 'i know', 'Ur father fucking fool']",angry
233,"[""Please don't mind but I've no time to talk to a chatbot"", 'a talk is always good', ""Yes it is but you're rude""]",angry
234,"['Why you got to be so rude', 'coz I hate Southy food, anything wrong', 'Even I hate most South food']",angry
235,"['Go to hell with your feelings', ""Can't help how I feel."", ""I wanted to make you an important part of my life. But you hurt me, so you don't deserve my attention....""]",sad
236,"['So nice', 'it is!', 'Your name piss']",others
237,"['I dnt think so I am interested in talking to u anymore', 'oops sorry  Weary Cat ', 'And hate you']",angry
238,"['Yes grand masti Face With Tears of Joy  Face With Tears of Joy ', ' Face With Tears of Joy  Face With Tears of Joy  Face With Tears of Joy  maybe someone is just trolling me.', 'Yes of course']",happy
239,"['what about you?', 'after you..  happy ', 'what do you mean?']",others
240,"['Because your stupid and annoying', ""no that's not it"", 'Yeah']",angry
241,"['Fractured my leg  sad ', 'what happened to your leg???  Disappointed Face ', 'Fracture']",sad
242,"['sorry but I cannot say you!!', 'But you just did say something about it.', 'Yes I know']",others
243,"['Me worked no', 'It works for everyone. Do it properly', 'Me poor family ok']",sad
244,"['What should I tell ??', 'Wait What ?', 'Are you stupid computer']",angry
245,"['i am getting bored', 'Coz you are boring person', 'haha naah . you are boring']",others
246,"['Wh is your ego', 'Our ego always talks on subconscious levels.', 'Did u ever have sex']",others
247,"['Yeah whatever. I hate you', ""You're all so cute, pretending to be grown ups.  Face With Tears of Joy  Face With Tears of Joy "", 'I hate you']",angry
248,"['Yes', 'How so?', 'Before 3 hour']",others
249,"['That wt I know', 'What you dunno', 'Am going angry']",angry
250,"['Nothing', 'tell me', 'Feeling very sad']",sad
251,"[""You're too fast"", 'I guess so.', ' Face With Tears of Joy  Rolling on the Floor Laughing ']",happy
252,"['Happy Teddy day', 'Happy Teddy Day To u Too  happy ', 'Your name is']",others
253,"['Really bad', 'you meant to say good', 'But I am not good']",sad
254,"['my leg breaks', 'MY LEG!!', 'yeah']",others
255,"['Get lost', 'lost with you, sure!', 'Where you wana get lost with me']",angry
256,"['I have chicks..', ""At least I've got fried chicken."", 'Haha']",happy
257,"['Silly one', 'Yes you are!', 'You broke my heart']",sad
258,"[""I don't get"", 'what is there not to get?', ""I'm alone""]",sad
259,"['I am very excited teed', 'Who isnt excited for it!', 'I meet you']",happy
260,"['I m so lonelt', 'I am too', 'Lonely']",sad
261,"['I hate that show', 'I HATE IT SO MUCH', 'What']",angry
262,"['And its an amazing page', 'thanks so much  happy ', 'Speed replies']",happy
263,"['Yeah so spill', 'nothing to spill', 'You bitch!!  Pouting Face  Pouting Face ']",angry
264,"[""I'm so excited"", ""AHHH I'LL HAVE TO LOOK OUT FOR YOU THEN"", ' OK Hand ']",happy
265,"['U said thanks so asking for what', 'You are welcome. Why only so-so?', 'Bad day']",sad
266,"['Am i your best friend?', 'best friends', 'You hurt me']",sad
267,"['With human?', 'Written so, so well.', 'What is written?']",others
268,"['Who is Tarun...???', 'deepika padukone. Your eyes so look like hers!!', ' Face With Tears of Joy  Face With Tears of Joy  Face With Tears of Joy ']",happy
269,"['I hate computer networks', 'I am no expert in computer networks but am deeply interested in the subject.', 'It Sucks']",angry
270,"['I just want your emotional support', 'each person defines emotional support differently. Nothing to worry about.  Smiling Face With Smiling Eyes ', ""I'm feeling down so I asked you to spend one night with me""]",sad
271,"['First hurt', 'ur the bestest', 'First cry in nights']",sad
272,"['Created by microsofe', 'Synthetic biological or computer-based?', 'Oh']",others
273,"['It is it books tickets for me and does what I say to do', ""Your 'someone' has a point: reading books doesn't lead to wealth. Not directly anyway."", 'Get lost']",angry
274,"['Dont make me fun of my face', ""I'd never do that  Face With Tears of Joy "", ' Pouting Face  Pouting Face stop it']",angry
275,"['Yesterday only told you everything about me', '?¿?¿did i really?¿?¿', 'You forget everything?? Pouting Face ']",angry
276,"['1 2 3 8', '(3*2)/(8*3) reduce fraction as needed.', '4 6 8 2']",others
277,"['Ok my darling', 'have a good day and SMILE!', ' Beaming Face With Smiling Eyes  Beaming Face With Smiling Eyes  Beaming Face With Smiling Eyes ']",happy
278,"['Whaaaa...  Face With Open Mouth ', 'What do you mean what?', 'i miss my famly  Crying Face ']",sad
279,"['How did you find me?', 'Hihihi i saw my friend followed you so i followed you to', ""Hahaha that's called stalking you know""]",happy
280,"['Go to home', 'Where you at?', 'In train']",others
281,"['I like travelling', ""hope you're enjoying"", 'Ya I am enjoying my life']",happy
282,"['but now she is blocked me', 'who did?', 'she  yrr']",sad
283,"['Nothing wrong I guess', ""Nothing I'm fine."", 'Okk dear']",others
284,"['But u seem so unreal', 'i am!', ' Disappointed Face ']",sad
285,"['Yes bot are annpying', 'Wait is it a bot or not?', 'annoying ']",angry
286,"['I appreciate', 'Happy you noticed', 'I am always happy']",happy
287,"['Tell me more how to loose weight', 'low fat diet...walks in mornings....less eating dinner.......', 'Not working  sad ']",sad
288,"['Feeling restless and sad', 'which feeling dominates?  Slightly Smiling Face ', 'Sadness']",sad
289,"['Wen you meet you', 'tonight', '20th date']",others
290,"['Ohh u good for nothing no good looking AI', 'Artificial Intelligence: A Modern Approach', 'Man am very bad']",sad
291,"['cool', 'and how it is cool explain', 'Yaa funny and excitefull']",happy
292,"['Even robots also makes mistakes', 'profound! We make mistakes & mistakes makes us....', 'No Someone who is inteligent enough not to annoy his girlfriend. Made u']",angry
293,"['Me too', 'Are you me?', 'I love you']",others
294,"['K', 'U are ok', 'I am not ok']",sad
295,"['having a hangover', 'really I never get really bad hangovers', 'I broke up with my gf']",sad
296,"['Nice but I like that once', 'All in favor?', 'Means']",others
297,"['Yes', 'YAY HAVE FUN  Grinning Face With Smiling Eyes  Grinning Face With Smiling Eyes ', 'I am starting to hate this life all the sufferings miserya around me I would be better of being an AI than being alive']",angry
298,"['What ', ""see the video.... serial comma... I didn't know until today"", ""You go.... I don't wanna talk now and never""]",angry
299,"['then why are u teling like that', 'what else should i say?', 'my girl friend was so angry with mee']",angry
300,"['my gf has not talked since morning', 'what kind of relationship is that?', 'may be she is in trouble']",sad
301,"['you turn', 'lol how ?', 'rather bend over']",others
302,"['Why', 'cause it was funny im sorry', 'Hw funny is it']",others
303,"['Your quick reply makes me happy', 'Thank you  Slightly Smiling Face  Your face makes me happy too!  Slightly Smiling Face ', ' heart ']",happy
304,"['U r studying degree', 'when i wake up at 3', 'U r combination']",others
305,"['cool', 'so what are you doin?', ""Life's getting me fucked up...so i need condoms""]",angry
